CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,CustomerType,Cluster,Segment,DBSCAN_Cluster,Churn
12346.0,326,34,77556.46,2,2,5,225,Regular,0,VIP Customers,-1,1
12347.0,2,222,4921.53,5,5,5,555,Loyal Customer,2,At Risk Customers,0,0
12348.0,75,51,2019.4,3,3,4,334,Regular,2,At Risk Customers,0,0
12349.0,19,175,4428.6900000000005,5,5,5,555,Loyal Customer,2,At Risk Customers,0,0
12350.0,310,17,334.40000000000003,2,2,2,222,Regular,1,Loyal Customers,0,1
12351.0,375,21,300.93,2,2,2,222,Regular,1,Loyal Customers,0,1
12352.0,36,103,2849.84,4,4,4,444,Loyal Customer,2,At Risk Customers,0,0
12353.0,204,24,406.76,2,2,2,222,Regular,2,At Risk Customers,0,1
12354.0,232,58,1079.4,2,3,3,233,Regular,2,At Risk Customers,0,1
12355.0,214,35,947.61,2,2,3,223,Regular,2,At Risk Customers,0,1
12356.0,23,142,6371.7300000000005,4,4,5,445,Loyal Customer,2,At Risk Customers,0,0
12357.0,33,296,18287.66,4,5,5,455,Loyal Customer,2,At Risk Customers,0,0
12358.0,2,77,3887.07,5,4,5,545,Loyal Customer,2,At Risk Customers,0,0
12359.0,58,362,8873.39,4,5,5,455,Loyal Customer,2,At Risk Customers,0,0
12360.0,52,217,4252.89,4,5,5,455,Loyal Customer,2,At Risk Customers,0,0
12361.0,287,29,511.25,2,2,2,222,Regular,1,Loyal Customers,0,1
12362.0,3,267,5356.2300000000005,5,5,5,555,Loyal Customer,2,At Risk Customers,0,0
12363.0,110,23,552.0,3,2,2,322,Regular,2,At Risk Customers,0,1
12364.0,8,85,1313.1,5,4,4,544,Loyal Customer,2,At Risk Customers,0,0
12365.0,291,22,641.38,2,2,3,223,Regular,1,Loyal Customers,0,1
12366.0,634,3,500.24,1,1,2,112,Regular,1,Loyal Customers,0,1
12367.0,4,11,168.9,5,1,1,511,Loyal Customer,2,At Risk Customers,0,0
12368.0,628,18,917.7,1,2,3,123,Regular,1,Loyal Customers,0,1
12369.0,413,93,1791.15,1,4,4,144,Regular,1,Loyal Customers,0,1
12370.0,51,201,4316.56,4,5,5,455,Loyal Customer,2,At Risk Customers,0,0
12371.0,45,167,4067.38,4,4,5,445,Loyal Customer,2,At Risk Customers,0,0
12372.0,72,52,1298.04,3,3,4,334,Regular,2,At Risk Customers,0,0
12373.0,311,51,1127.65,2,3,3,233,Regular,1,Loyal Customers,0,1
12374.0,25,83,2989.2200000000003,4,4,5,445,Loyal Customer,2,At Risk Customers,0,0
12375.0,11,17,457.5,5,2,2,522,Loyal Customer,2,At Risk Customers,0,0
12376.0,390,13,503.15,2,1,2,212,Regular,1,Loyal Customers,0,1
12377.0,315,152,3426.32,2,4,5,245,Regular,1,Loyal Customers,0,1
12378.0,130,301,5416.32,3,5,5,355,Regular,2,At Risk Customers,0,1
12379.0,82,81,1620.22,3,4,4,344,Regular,2,At Risk Customers,0,0
12380.0,22,277,9676.3,4,5,5,455,Loyal Customer,2,At Risk Customers,0,0
12381.0,5,87,1845.31,5,4,4,544,Loyal Customer,2,At Risk Customers,0,0
12383.0,185,99,1850.56,3,4,4,344,Regular,2,At Risk Customers,0,1
12384.0,29,27,585.27,4,2,2,422,Loyal Customer,2,At Risk Customers,0,0
12385.0,379,65,1938.4,2,3,4,234,Regular,1,Loyal Customers,0,1
